latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
41.89173,-83.35799,312.67,0.43,0.38,2025-02-01,0713,N20,VIIRS,n,2.0NRT,271.58,2.04,N
42.27744,-83.12914,300.1,0.43,0.38,2025-02-01,0713,N20,VIIRS,n,2.0NRT,270.06,0.96,N
42.28239,-83.11198,317.9,0.43,0.38,2025-02-01,0713,N20,VIIRS,n,2.0NRT,272.15,1.61,N
42.29251,-83.16303,325.72,0.43,0.38,2025-02-01,0713,N20,VIIRS,n,2.0NRT,271.14,2.24,N
42.29732,-83.17263,302.14,0.43,0.38,2025-02-01,0713,N20,VIIRS,n,2.0NRT,270.07,1.11,N
42.29879,-83.15621,302.58,0.43,0.38,2025-02-01,0713,N20,VIIRS,n,2.0NRT,272.4,1.32,N
43.31004,-85.30531,302.98,0.53,0.42,2025-02-01,0713,N20,VIIRS,n,2.0NRT,266.21,0.7,N
41.74965,-81.28304,295.36,0.39,0.36,2025-02-01,0713,N20,VIIRS,n,2.0NRT,270.71,0.72,N
41.75252,-81.2858,297.45,0.39,0.36,2025-02-01,0713,N20,VIIRS,n,2.0NRT,270.54,0.53,N
41.46272,-81.6739,329.13,0.39,0.36,2025-02-01,0713,N20,VIIRS,n,2.0NRT,275.7,6.29,N
41.73209,-83.52107,295.03,0.44,0.38,2025-02-01,0713,N20,VIIRS,n,2.0NRT,267.56,0.32,N
41.45276,-81.67643,320.67,0.39,0.36,2025-02-01,0713,N20,VIIRS,n,2.0NRT,272.05,1.76,N
41.46692,-83.36592,307.97,0.43,0.38,2025-02-01,0716,N20,VIIRS,n,2.0NRT,271.86,1.08,N
41.56879,-84.05627,304.41,0.45,0.39,2025-02-01,0716,N20,VIIRS,n,2.0NRT,270.24,1.45,N
41.56745,-84.04546,332.09,0.45,0.39,2025-02-01,0716,N20,VIIRS,n,2.0NRT,273.81,6.22,N
35.00825,-93.37428,318.27,0.37,0.58,2025-02-01,0716,N20,VIIRS,n,2.0NRT,277.36,2.01,N
35.0085,-93.37821,307.31,0.37,0.58,2025-02-01,0716,N20,VIIRS,n,2.0NRT,277.01,1.94,N
34.64129,-87.09072,300.61,0.51,0.41,2025-02-01,0716,N20,VIIRS,n,2.0NRT,280.42,1.24,N
34.64065,-87.08518,333.76,0.51,0.41,2025-02-01,0716,N20,VIIRS,n,2.0NRT,280.97,5.55,N
34.8065,-88.3261,308.65,0.39,0.44,2025-02-01,0716,N20,VIIRS,n,2.0NRT,277.07,0.7,N
34.84833,-87.51669,309.72,0.53,0.42,2025-02-01,0716,N20,VIIRS,n,2.0NRT,277.51,1.77,N
34.51175,-84.76697,314.1,0.41,0.37,2025-02-01,0716,N20,VIIRS,n,2.0NRT,277.88,0.92,N
33.96366,-81.0511,298.2,0.4,0.37,2025-02-01,0716,N20,VIIRS,n,2.0NRT,283.42,0.43,N
34.3752,-79.89046,303.02,0.42,0.38,2025-02-01,0716,N20,VIIRS,n,2.0NRT,278.43,0.93,N
36.51882,-97.84478,297.46,0.69,0.74,2025-02-01,0716,N20,VIIRS,n,2.0NRT,271.18,1.15,N
35.10268,-81.65535,305.16,0.39,0.36,2025-02-01,0716,N20,VIIRS,n,2.0NRT,277.7,0.58,N
35.10596,-81.65456,295.87,0.39,0.36,2025-02-01,0716,N20,VIIRS,n,2.0NRT,277.99,0.58,N
35.93463,-86.37576,297.81,0.49,0.4,2025-02-01,0716,N20,VIIRS,n,2.0NRT,277.67,0.92,N
35.40845,-82.35799,321.21,0.38,0.36,2025-02-01,0716,N20,VIIRS,n,2.0NRT,277.3,1.64,N
35.34235,-80.82861,323.34,0.39,0.36,2025-02-01,0716,N20,VIIRS,n,2.0NRT,281.93,2.48,N
36.33228,-87.77433,299.9,0.57,0.43,2025-02-01,0716,N20,VIIRS,n,2.0NRT,276.96,1.03,N
35.98068,-83.9576,324.53,0.4,0.37,2025-02-01,0716,N20,VIIRS,n,2.0NRT,279.42,2.6,N
35.50605,-80.32922,296.65,0.4,0.37,2025-02-01,0716,N20,VIIRS,n,2.0NRT,281.27,1.4,N
36.55914,-81.16492,300.62,0.39,0.36,2025-02-01,0716,N20,VIIRS,n,2.0NRT,274.9,0.72,N
36.6078,-81.36086,321.84,0.38,0.36,2025-02-01,0716,N20,VIIRS,n,2.0NRT,273.56,2.03,N
36.72306,-81.24962,304.47,0.39,0.36,2025-02-01,0716,N20,VIIRS,n,2.0NRT,274.51,1,N
38.06425,-91.43729,320.6,0.62,0.54,2025-02-01,0716,N20,VIIRS,n,2.0NRT,274.22,3.07,N
36.77673,-80.28967,296.82,0.39,0.36,2025-02-01,0716,N20,VIIRS,n,2.0NRT,279.47,0.57,N
38.69691,-90.15011,300.93,0.54,0.51,2025-02-01,0716,N20,VIIRS,n,2.0NRT,273.94,1.47,N
38.83909,-90.06736,295.7,0.53,0.5,2025-02-01,0716,N20,VIIRS,n,2.0NRT,277.94,1.7,N
37.80817,-79.8399,326.09,0.4,0.37,2025-02-01,0716,N20,VIIRS,n,2.0NRT,275.96,1.51,N
39.71873,-90.33385,300.41,0.56,0.52,2025-02-01,0716,N20,VIIRS,n,2.0NRT,270.79,1.23,N
39.71882,-90.33437,300.25,0.56,0.52,2025-02-01,0716,N20,VIIRS,n,2.0NRT,270.69,1.48,N
41.48355,-90.83408,320.25,0.62,0.54,2025-02-01,0716,N20,VIIRS,n,2.0NRT,269.76,4.09,N
41.47856,-90.83465,314.57,0.62,0.54,2025-02-01,0716,N20,VIIRS,n,2.0NRT,269.88,3.64,N
41.18058,-87.8606,330.68,0.43,0.46,2025-02-01,0716,N20,VIIRS,n,2.0NRT,272.13,3.4,N
40.57016,-83.13804,313.22,0.42,0.37,2025-02-01,0716,N20,VIIRS,n,2.0NRT,271.88,1.93,N
40.89576,-86.69508,301.18,0.57,0.43,2025-02-01,0716,N20,VIIRS,n,2.0NRT,269.99,0.91,N
39.43367,-77.97721,297.74,0.42,0.38,2025-02-01,0716,N20,VIIRS,n,2.0NRT,279.3,0.72,N
39.97583,-86.83622,316.09,0.56,0.43,2025-02-01,0716,N20,VIIRS,n,2.0NRT,273.99,2.32,N
39.87657,-86.49066,302.92,0.54,0.42,2025-02-01,0716,N20,VIIRS,n,2.0NRT,271.07,1.3,N
39.87589,-86.48431,308.4,0.54,0.42,2025-02-01,0716,N20,VIIRS,n,2.0NRT,273.85,1.68,N
39.74604,-86.49528,299.17,0.54,0.42,2025-02-01,0716,N20,VIIRS,n,2.0NRT,271.52,0.56,N
41.64768,-87.13494,321.24,0.41,0.45,2025-02-01,0716,N20,VIIRS,n,2.0NRT,272.13,2.79,N
41.64404,-87.14053,336.14,0.41,0.45,2025-02-01,0716,N20,VIIRS,n,2.0NRT,274.33,3.34,N
41.64357,-87.13561,328.24,0.41,0.45,2025-02-01,0716,N20,VIIRS,n,2.0NRT,272.08,3.08,N
41.67421,-87.46502,297.25,0.42,0.45,2025-02-01,0716,N20,VIIRS,n,2.0NRT,270.82,0.76,N
41.63993,-87.14119,299.46,0.41,0.45,2025-02-01,0716,N20,VIIRS,n,2.0NRT,273.01,3.34,N
41.66957,-87.4606,296.14,0.42,0.45,2025-02-01,0716,N20,VIIRS,n,2.0NRT,268.89,0.76,N
41.63947,-87.13627,310.13,0.41,0.45,2025-02-01,0716,N20,VIIRS,n,2.0NRT,272.49,3.08,N
41.63582,-87.14188,305.54,0.41,0.45,2025-02-01,0716,N20,VIIRS,n,2.0NRT,273.2,1.47,N
41.62434,-87.33504,306.21,0.41,0.45,2025-02-01,0716,N20,VIIRS,n,2.0NRT,272.12,0.87,N
41.62389,-87.33002,297.48,0.41,0.45,2025-02-01,0716,N20,VIIRS,n,2.0NRT,271.7,0.95,N
41.61974,-87.33068,323.04,0.41,0.45,2025-02-01,0716,N20,VIIRS,n,2.0NRT,275.04,2.61,N
41.61559,-87.33138,327.32,0.41,0.45,2025-02-01,0716,N20,VIIRS,n,2.0NRT,275.65,2.61,N
41.61564,-87.34808,302.13,0.42,0.45,2025-02-01,0716,N20,VIIRS,n,2.0NRT,271.53,1.11,N
41.61372,-87.32804,299.79,0.41,0.45,2025-02-01,0716,N20,VIIRS,n,2.0NRT,273.75,0.88,N
41.64814,-87.13985,325.51,0.41,0.45,2025-02-01,0716,N20,VIIRS,n,2.0NRT,270.85,2.41,N
41.67976,-87.43313,299.61,0.42,0.45,2025-02-01,0716,N20,VIIRS,n,2.0NRT,269.85,1.02,N
41.22652,-83.21078,310.89,0.42,0.38,2025-02-01,0716,N20,VIIRS,n,2.0NRT,270.97,1.12,N
28.98439,-95.39706,296.96,0.43,0.62,2025-02-01,0718,N20,VIIRS,n,2.0NRT,282.91,0.58,N
29.88341,-91.93185,298.72,0.54,0.51,2025-02-01,0718,N20,VIIRS,n,2.0NRT,280.04,0.94,N
29.8803,-91.92576,304.49,0.54,0.51,2025-02-01,0718,N20,VIIRS,n,2.0NRT,280.02,1.47,N
29.88082,-91.93142,314.88,0.54,0.51,2025-02-01,0718,N20,VIIRS,n,2.0NRT,279.88,1.47,N
30.06794,-94.07618,297.82,0.37,0.58,2025-02-01,0718,N20,VIIRS,n,2.0NRT,283.68,1.81,N
30.07244,-94.06409,299.2,0.37,0.58,2025-02-01,0718,N20,VIIRS,n,2.0NRT,284.8,1.26,N
30.04195,-93.33826,300.06,0.33,0.55,2025-02-01,0718,N20,VIIRS,n,2.0NRT,282.6,0.4,N
30.04707,-93.33767,295.83,0.33,0.55,2025-02-01,0718,N20,VIIRS,n,2.0NRT,284.21,0.4,N
30.17862,-93.33257,298.49,0.33,0.55,2025-02-01,0718,N20,VIIRS,n,2.0NRT,285.33,1.57,N
30.18066,-93.357,296.97,0.33,0.56,2025-02-01,0718,N20,VIIRS,n,2.0NRT,283.71,1.61,N
30.18095,-93.3605,340.94,0.33,0.56,2025-02-01,0718,N20,VIIRS,n,2.0NRT,283.33,1.61,N
30.18316,-93.32505,300.73,0.33,0.55,2025-02-01,0718,N20,VIIRS,n,2.0NRT,288.04,1.67,N
30.24379,-93.27668,306.05,0.33,0.55,2025-02-01,0718,N20,VIIRS,n,2.0NRT,291.86,1.25,N
30.24407,-93.28014,296.72,0.33,0.55,2025-02-01,0718,N20,VIIRS,n,2.0NRT,285.22,1.06,N
29.93221,-89.94304,299.04,0.42,0.45,2025-02-01,0718,N20,VIIRS,n,2.0NRT,286.23,1.17,N
29.93549,-89.97337,298.81,0.42,0.45,2025-02-01,0718,N20,VIIRS,n,2.0NRT,286.1,1.15,N
