latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
19.40327,-155.3004,335.23,0.72,0.76,01-01-2025,30,N21,VIIRS,n,2.0NRT,297.66,645.38,D
19.41185,-155.28096,354.75,0.73,0.76,01-01-2025,30,N21,VIIRS,n,2.0NRT,318.55,210.56,D
19.41244,-155.27386,333.63,0.73,0.76,01-01-2025,30,N21,VIIRS,n,2.0NRT,307.42,210.56,D
19.41123,-155.28844,367,0.72,0.76,01-01-2025,30,N21,VIIRS,h,2.0NRT,328.07,571.36,D
19.40371,-155.29485,207.38,0.72,0.76,01-01-2025,30,N21,VIIRS,l,2.0NRT,317.11,571.36,D
19.40436,-155.28694,367,0.72,0.76,01-01-2025,30,N21,VIIRS,l,2.0NRT,372.81,571.36,D
19.40313,-155.30179,326.09,0.72,0.76,01-01-2025,30,N21,VIIRS,l,2.0NRT,296.84,46.4,D
19.40493,-155.28006,367,0.73,0.76,01-01-2025,30,N21,VIIRS,h,2.0NRT,316.52,210.56,D
19.39738,-155.2868,328.19,0.72,0.76,01-01-2025,30,N21,VIIRS,n,2.0NRT,296.41,8.15,D
19.40382,-155.29321,367,0.72,0.76,01-01-2025,30,N21,VIIRS,l,2.0NRT,355.64,645.38,D
19.40441,-155.28549,367,0.73,0.76,01-01-2025,30,N21,VIIRS,l,2.0NRT,374.77,772.54,D
19.41059,-155.29608,347.95,0.72,0.76,01-01-2025,30,N21,VIIRS,n,2.0NRT,298.95,571.36,D
19.40493,-155.27858,367,0.73,0.76,01-01-2025,30,N21,VIIRS,h,2.0NRT,307.8,772.54,D
19.4107,-155.29456,347.96,0.72,0.76,01-01-2025,30,N21,VIIRS,n,2.0NRT,302.94,70.63,D
19.41186,-155.27939,352.2,0.73,0.76,01-01-2025,30,N21,VIIRS,n,2.0NRT,317.25,61.09,D
19.41129,-155.28682,367,0.73,0.76,01-01-2025,30,N21,VIIRS,h,2.0NRT,324.23,61.09,D
38.63144,-75.75168,303.11,0.39,0.59,01-01-2025,607,N21,VIIRS,n,2.0NRT,276.45,1.02,N
39.94065,-76.81634,297.04,0.46,0.63,01-01-2025,607,N21,VIIRS,n,2.0NRT,276.04,1.23,N
40.02401,-74.25002,301.88,0.33,0.56,01-01-2025,607,N21,VIIRS,n,2.0NRT,277.32,0.6,N
40.17329,-75.89689,299.26,0.41,0.61,01-01-2025,607,N21,VIIRS,n,2.0NRT,275.97,0.77,N
33.0161,-79.881,296.02,0.61,0.71,01-01-2025,609,N21,VIIRS,n,2.0NRT,283.26,2.53,N
37.18183,-77.4457,296.59,0.47,0.64,01-01-2025,609,N21,VIIRS,n,2.0NRT,280.28,1.02,N
35.22535,-80.22151,295.9,0.66,0.73,01-01-2025,609,N21,VIIRS,n,2.0NRT,278.7,0.82,N
35.22305,-80.22459,295.27,0.66,0.73,01-01-2025,609,N21,VIIRS,n,2.0NRT,279.01,1.21,N
34.45078,-77.94559,308.09,0.48,0.65,01-01-2025,609,N21,VIIRS,n,2.0NRT,284.51,1.57,N
33.95948,-81.04995,295.8,0.73,0.76,01-01-2025,609,N21,VIIRS,n,2.0NRT,280.82,2.38,N
33.96069,-81.04791,297.19,0.72,0.76,01-01-2025,609,N21,VIIRS,n,2.0NRT,280.7,1.32,N
33.36235,-81.20187,309.53,0.73,0.76,01-01-2025,609,N21,VIIRS,n,2.0NRT,280.69,2.8,N
33.36399,-81.19984,309.76,0.73,0.76,01-01-2025,609,N21,VIIRS,n,2.0NRT,280.84,2.69,N
33.01589,-79.88857,306.72,0.61,0.71,01-01-2025,609,N21,VIIRS,n,2.0NRT,284.41,2.21,N
33.01564,-79.88197,305.9,0.61,0.71,01-01-2025,609,N21,VIIRS,n,2.0NRT,283.74,2.21,N
33.01638,-79.8876,314.38,0.61,0.71,01-01-2025,609,N21,VIIRS,n,2.0NRT,284.68,3.46,N
32.62289,-81.21181,299.4,0.73,0.76,01-01-2025,609,N21,VIIRS,n,2.0NRT,282.62,1.3,N
30.28308,-81.98365,297.24,0.78,0.78,01-01-2025,612,N21,VIIRS,n,2.0NRT,286.84,1.38,N
30.28281,-81.97553,298.04,0.78,0.78,01-01-2025,612,N21,VIIRS,n,2.0NRT,287.48,1.38,N
30.28708,-81.98174,302.34,0.78,0.78,01-01-2025,612,N21,VIIRS,n,2.0NRT,287.03,1.91,N
40.63483,-74.22297,303.42,0.46,0.64,01-01-2025,748,N21,VIIRS,n,2.0NRT,281.67,2.26,N
40.63539,-74.22313,301.91,0.46,0.64,01-01-2025,748,N21,VIIRS,n,2.0NRT,281.89,3.36,N
39.48461,-84.38836,300.14,0.48,0.4,01-01-2025,750,N21,VIIRS,n,2.0NRT,271.6,1.74,N
35.13684,-82.09431,306.88,0.5,0.49,01-01-2025,750,N21,VIIRS,n,2.0NRT,277.94,1.76,N
41.36553,-84.92002,326.54,0.43,0.38,01-01-2025,750,N21,VIIRS,n,2.0NRT,272.19,3.27,N
41.36801,-84.91384,295.59,0.43,0.38,01-01-2025,750,N21,VIIRS,n,2.0NRT,270.86,1.61,N
34.0851,-82.80875,298.25,0.48,0.48,01-01-2025,750,N21,VIIRS,n,2.0NRT,277.88,0.83,N
36.51921,-97.83675,301.99,0.49,0.49,01-01-2025,750,N21,VIIRS,n,2.0NRT,267.83,1.22,N
36.51794,-97.83952,309.22,0.49,0.49,01-01-2025,750,N21,VIIRS,n,2.0NRT,268.79,2.2,N
34.48722,-81.63241,300.14,0.55,0.51,01-01-2025,750,N21,VIIRS,n,2.0NRT,279.04,1.51,N
34.48635,-81.63274,302.14,0.54,0.51,01-01-2025,750,N21,VIIRS,n,2.0NRT,278.96,1.03,N
34.7319,-82.53835,312.28,0.48,0.48,01-01-2025,750,N21,VIIRS,n,2.0NRT,275.98,1.3,N
37.09496,-97.06073,302.19,0.45,0.47,01-01-2025,750,N21,VIIRS,n,2.0NRT,267.2,1.31,N
34.15123,-79.55836,295.48,0.36,0.58,01-01-2025,750,N21,VIIRS,n,2.0NRT,282.72,0.75,N
33.99798,-78.30067,297.86,0.43,0.62,01-01-2025,750,N21,VIIRS,n,2.0NRT,281.82,0.39,N
34.45049,-77.94538,301.82,0.44,0.62,01-01-2025,750,N21,VIIRS,n,2.0NRT,281.72,1.33,N
34.44748,-77.94691,304.58,0.44,0.62,01-01-2025,750,N21,VIIRS,n,2.0NRT,281.63,1.12,N
35.22213,-80.22025,298.64,0.63,0.54,01-01-2025,750,N21,VIIRS,n,2.0NRT,278.01,0.96,N
35.71006,-78.8363,297.78,0.36,0.58,01-01-2025,750,N21,VIIRS,n,2.0NRT,279.01,0.58,N
36.35345,-76.814,300.7,0.45,0.63,01-01-2025,750,N21,VIIRS,n,2.0NRT,280.99,1.13,N
36.35763,-76.80685,296.33,0.45,0.63,01-01-2025,750,N21,VIIRS,n,2.0NRT,281.1,1.06,N
32.33876,-93.8251,307.33,0.43,0.38,01-01-2025,752,N21,VIIRS,n,2.0NRT,276.47,1.16,N
32.45898,-94.90625,296.06,0.47,0.4,01-01-2025,752,N21,VIIRS,n,2.0NRT,275.29,0.82,N
31.47557,-88.57376,318.13,0.43,0.38,01-01-2025,752,N21,VIIRS,n,2.0NRT,277.54,2.74,N
32.54679,-96.03504,307.86,0.53,0.42,01-01-2025,752,N21,VIIRS,n,2.0NRT,274.67,1.54,N
