latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
39.55757,-77.24984,295.08,0.42,0.37,2025-02-01,0652,N,VIIRS,n,2.0NRT,276.13,0.48,N
39.55936,-77.25264,296.48,0.42,0.37,2025-02-01,0652,N,VIIRS,n,2.0NRT,276.94,0.52,N
40.57113,-83.13911,303.46,0.51,0.49,2025-02-01,0652,N,VIIRS,n,2.0NRT,269.97,1.48,N
41.11927,-85.35154,356.93,0.34,0.56,2025-02-01,0652,N,VIIRS,n,2.0NRT,273.97,5.94,N
41.36583,-84.92115,303.03,0.32,0.55,2025-02-01,0652,N,VIIRS,n,2.0NRT,270.71,0.74,N
41.36609,-84.92508,296.86,0.32,0.55,2025-02-01,0652,N,VIIRS,n,2.0NRT,270.25,1.04,N
41.36824,-84.92325,314.23,0.32,0.55,2025-02-01,0652,N,VIIRS,n,2.0NRT,272.86,1.47,N
41.64063,-87.40854,298.33,0.43,0.62,2025-02-01,0652,N,VIIRS,n,2.0NRT,271.78,1.44,N
41.67179,-87.46031,306.71,0.44,0.62,2025-02-01,0652,N,VIIRS,n,2.0NRT,270.98,1.15,N
41.672,-87.46577,298.56,0.44,0.62,2025-02-01,0652,N,VIIRS,n,2.0NRT,270.59,1.15,N
45.07283,-83.40279,295.08,0.58,0.52,2025-02-01,0652,N,VIIRS,n,2.0NRT,264.34,1.45,N
41.67656,-87.43284,306.55,0.44,0.62,2025-02-01,0652,N,VIIRS,n,2.0NRT,271.39,2.53,N
41.68195,-87.4216,299.73,0.44,0.62,2025-02-01,0652,N,VIIRS,n,2.0NRT,275.31,2.28,N
41.46814,-83.36685,307.87,0.53,0.5,2025-02-01,0652,N,VIIRS,n,2.0NRT,271.14,1.75,N
41.46928,-83.36746,304.56,0.54,0.5,2025-02-01,0652,N,VIIRS,n,2.0NRT,271.16,2.26,N
41.56919,-84.04813,308.81,0.58,0.52,2025-02-01,0652,N,VIIRS,n,2.0NRT,272.36,1.93,N
41.56967,-84.05526,301,0.58,0.52,2025-02-01,0652,N,VIIRS,n,2.0NRT,270.09,1.7,N
38.69477,-90.14808,296.63,0.58,0.7,2025-02-01,0652,N,VIIRS,n,2.0NRT,273.68,1.22,N
38.83571,-90.06546,296.01,0.57,0.69,2025-02-01,0652,N,VIIRS,n,2.0NRT,276.3,1.35,N
42.29924,-83.15607,302.04,0.53,0.5,2025-02-01,0652,N,VIIRS,n,2.0NRT,271,1.53,N
39.87258,-86.48603,295.07,0.38,0.58,2025-02-01,0652,N,VIIRS,n,2.0NRT,272.17,0.77,N
42.29547,-83.1699,297.18,0.53,0.5,2025-02-01,0652,N,VIIRS,n,2.0NRT,268.98,1.24,N
39.87335,-86.48871,298.07,0.38,0.59,2025-02-01,0652,N,VIIRS,n,2.0NRT,271.71,1.29,N
41.4501,-81.67901,303.1,0.44,0.46,2025-02-01,0652,N,VIIRS,n,2.0NRT,271.08,1.07,N
39.97379,-86.83842,299.47,0.39,0.6,2025-02-01,0652,N,VIIRS,n,2.0NRT,272.09,0.81,N
42.29792,-83.157,306.26,0.53,0.5,2025-02-01,0652,N,VIIRS,n,2.0NRT,271.93,1.8,N
42.28512,-83.11246,298.08,0.53,0.5,2025-02-01,0652,N,VIIRS,n,2.0NRT,269.03,1.5,N
41.89088,-83.35753,297.53,0.54,0.51,2025-02-01,0652,N,VIIRS,n,2.0NRT,271.3,1.82,N
41.46491,-81.6753,304.53,0.44,0.46,2025-02-01,0652,N,VIIRS,n,2.0NRT,270.58,1.11,N
41.46062,-81.67596,299.84,0.44,0.46,2025-02-01,0652,N,VIIRS,n,2.0NRT,269.12,0.99,N
41.45633,-81.67663,305.69,0.44,0.46,2025-02-01,0652,N,VIIRS,n,2.0NRT,270.83,0.99,N
41.45204,-81.6773,305.44,0.44,0.46,2025-02-01,0652,N,VIIRS,n,2.0NRT,271.67,1.3,N
34.64137,-87.09138,297.38,0.37,0.58,2025-02-01,0654,N,VIIRS,n,2.0NRT,279.64,1.17,N
34.6411,-87.0873,295.18,0.37,0.58,2025-02-01,0654,N,VIIRS,n,2.0NRT,279.27,1.13,N
